Match_id,Team 1,Team 2,Winners_inng,Venue,Match Date,Winner,Host_Country,Venue_Team1,Venue_Team2,Innings_Team1,Innings_Team2,Year
3159,West Indies,India,2,Port of Spain,"Jun 6, 2011",India,West Indies,Home,Away,First,Second,2011
3160,West Indies,India,2,Port of Spain,"Jun 8, 2011",India,West Indies,Home,Away,First,Second,2011
3161,West Indies,India,2,North Sound,"Jun 11, 2011",India,West Indies,Home,Away,First,Second,2011
3162,West Indies,India,1,North Sound,"Jun 13, 2011",West Indies,West Indies,Home,Away,First,Second,2011
3163,West Indies,India,2,Kingston,"Jun 16, 2011",West Indies,West Indies,Home,Away,Second,First,2011
3164,Scotland,Netherlands,1,Aberdeen,"Jun 28, 2011",Scotland,Scotland,Home,Away,First,Second,2011
3165,England,Sri Lanka,1,The Oval,"Jun 28, 2011",England,England,Home,Away,First,Second,2011
3166,Scotland,Netherlands,2,Aberdeen,"Jun 29, 2011",Scotland,Scotland,Home,Away,Second,First,2011
3167,England,Sri Lanka,1,Leeds,"Jul 1, 2011",Sri Lanka,England,Home,Away,Second,First,2011
3168,England,Sri Lanka,2,Lord's,"Jul 3, 2011",Sri Lanka,England,Home,Away,First,Second,2011
3169,England,Sri Lanka,2,Nottingham,"Jul 6, 2011",England,England,Home,Away,Second,First,2011
3170,England,Sri Lanka,1,Manchester,"Jul 9, 2011",England,England,Home,Away,First,Second,2011
3171,Scotland,Ireland,2,Edinburgh,"Jul 12, 2011",Scotland,Scotland,Home,Away,Second,First,2011
3172,Scotland,Sri Lanka,1,Edinburgh,"Jul 13, 2011",Sri Lanka,Scotland,Home,Away,Second,First,2011
3173,Canada,Afghanistan,2,King City,"Aug 7, 2011",Afghanistan,Canada,Home,Away,First,Second,2011
3174,Canada,Afghanistan,1,Toronto,"Aug 9, 2011",Afghanistan,Canada,Home,Away,Second,First,2011
3175,Sri Lanka,Australia,2,Pallekele,"Aug 10, 2011",Australia,,Neutral,Neutral,First,Second,2011
